,recall
0,68.08374597716664
1,64.87116276756726
2,61.28347032871788
3,64.6139856066042
4,65.70734375777037
5,63.198800787161034
6,65.18162248950334
7,64.94433748463686
8,67.35910314793371
9,59.00937062638979
10,66.1698363870161
11,65.56099432363118
12,64.93368097244226
13,66.06611300165531
14,99.9573739512216
15,61.079575728727825
16,66.53926214309564
17,64.77809589440106
18,64.09039564077608
19,99.9573739512216
20,59.87396898244517
21,66.45401004553882
22,66.25793022115815
23,67.87772007473767
24,63.11567999204314
25,63.50002486519512
26,65.44448312363686
27,67.56583948450898
28,99.9573739512216
29,99.9573739512216
30,66.48811088456155
31,99.9573739512216
32,65.85724536264111
33,67.51895083085273
34,99.9573739512216
35,64.73689071391527
36,67.11826597233569
37,99.9573739512216
38,68.17041894301607
39,66.45472047968514
40,60.737146470207946
41,66.26148239188969
42,67.30155798208285
43,65.10844777243373
44,59.601872704409665
45,61.242265148232086
46,66.27071803579167
47,59.34114337271507
48,64.74186375293942
49,62.20703471891673
50,64.34117889442238
51,57.07912105087419
52,99.9573739512216
53,60.347828558031814
54,65.72865678215958
55,63.35367543105592
56,66.4724813333428
57,66.79786017235132
58,67.4209109186624
59,55.911167314345796
60,99.9573739512216
61,99.9573739512216
62,64.29784241149767
63,63.497893562756204
64,67.08629643575189
65,63.17535646033291
66,66.35668056749479
67,66.88595400649336
68,66.53713084065673
69,64.1124190993116
70,58.12701141667673
71,66.22596068457435
72,66.69342635284423
73,66.66500898699195
74,59.243813894671035
75,65.4075405480289
76,66.7118976406482
77,58.99303064102473
78,65.74854893825616
79,66.74244630893939
80,65.50487002607294
81,60.776930782401124
82,68.1093216064337
83,64.04848002614398
84,63.196669484722115
85,60.06294446536278
86,65.43524747973487
87,66.64795856748059
88,61.65431695309003
89,99.9573739512216
90,61.203901704331514
91,67.4010187625658
92,61.620216114067304
93,65.71231679679452
94,64.11099823101898
95,63.13201997740819
96,64.2594789675971
97,99.9573739512216
98,66.70408286503883
99,65.04735043585134
