,recall
0,64.97346528
1,99.95737395
2,99.95737395
3,99.95737395
4,99.95737395
5,99.95737395
6,99.95737395
7,99.95737395
8,99.95737395
9,99.95737395
10,99.95737395
11,99.95737395
12,99.95737395
13,99.95737395
14,99.95737395
15,67.87772007
16,99.95737395
17,99.95737395
18,99.95737395
19,99.95737395
20,99.95737395
21,99.95737395
22,99.95737395
23,67.51895083
24,99.95737395
25,65.56099432
26,99.95737395
27,99.95737395
28,99.95737395
29,99.95737395
30,99.95737395
31,99.95737395
32,99.95737395
33,99.95737395
34,99.95737395
35,99.95737395
36,66.79786017
37,99.95737395
38,99.95737395
39,99.95737395
40,99.95737395
41,99.95737395
42,99.95737395
43,99.95737395
44,99.95737395
45,99.95737395
46,99.95737395
47,99.95737395
48,99.95737395
49,99.95737395
50,99.95737395
51,99.95737395
52,99.95737395
53,99.95737395
54,99.95737395
55,99.95737395
56,99.95737395
57,99.95737395
58,99.95737395
59,99.95737395
60,99.95737395
61,99.95737395
62,66.70408287
63,99.95737395
64,99.95737395
65,99.95737395
66,99.95737395
67,99.95737395
68,99.95737395
69,99.95737395
70,99.95737395
71,99.95737395
72,99.95737395
73,99.95737395
74,99.95737395
75,64.1124191
76,99.95737395
77,99.95737395
78,99.95737395
79,99.95737395
80,99.95737395
81,99.95737395
82,99.95737395
83,99.95737395
84,99.95737395
85,99.95737395
86,99.95737395
87,99.95737395
88,99.95737395
89,99.95737395
90,68.17041894
91,99.95737395
92,99.95737395
93,99.95737395
94,99.95737395
95,99.95737395
96,99.95737395
97,99.95737395
