,recall
0,52.42009391939414
1,53.68324583152765
2,48.877869265908394
3,44.23873429052494
4,51.97891431453761
5,53.43672518275918
6,46.56256438309451
7,48.386959270810394
8,48.1482533976513
9,46.41976711968684
10,51.86737615356744
11,41.00270675409743
12,52.975653421806065
13,51.513579948706656
14,53.33584353398362
15,54.91371777293104
16,53.08790201692254
17,49.32189060735015
18,52.270192314523406
19,54.120162831506335
20,54.11021675345804
21,57.598448411824464
22,48.15180556838284
23,49.143571636627144
24,51.79704317308307
25,43.15177004667552
26,46.13559346116412
27,50.55733558777769
28,51.17186112433308
29,53.49355991446373
30,48.57735562202062
31,52.84493353888561
32,46.694705134307576
33,53.59799373397083
34,52.92308129497936
35,52.056351636485054
36,46.605900866019226
37,51.464559992611484
38,48.806825851277715
39,52.46485127061147
40,47.80156153425358
41,50.246875865841616
42,56.24365049481738
43,50.95162653897797
44,53.13905327545663
45,55.46217293387989
46,48.21077160252631
47,49.710498085379974
48,49.685632890259235
49,52.43217129988136
50,52.795203148644134
51,54.20115232418531
52,44.84473461732465
53,53.58946852421515
54,50.19359330486861
55,54.80004830952195
56,51.95049694868534
57,48.847320597617205
58,41.87511988576219
59,44.62236872953061
60,52.48616429500068
61,49.28992107076635
62,49.7751475926939
63,56.168344475308864
64,48.56172607080187
65,59.16921830930882
66,54.400073885151215
67,53.60865024616543
68,52.69147976328334
69,47.892497104980855
70,52.54513032914414
71,44.67707215879624
72,52.18494021696659
73,55.84793867532449
74,51.11644726092115
75,50.99425258775638
76,58.464467636172465
77,51.738787573085915
78,51.058902095070295
79,55.644044075334435
80,49.5982494902635
81,55.090615875361436
82,49.9527561292706
83,51.850325734056085
84,48.24771417813426
85,47.62040082694535
86,47.36180279768967
87,48.66331815372374
88,50.596409465824564
89,52.01585689014557
90,51.322473163350125
91,55.93745337775915
92,51.343786187739326
93,50.49907998778053
94,55.339267826568815
95,51.60877812431177
96,47.00800659282888
97,52.38244090963988
98,55.948820324100055
99,46.650658217236554
